DviMachine.py       | on going
DviParser.py	    | one going
Encoding.py	    | done
FontManager.py	    | on going
FontMap.py	    | done
Font.py		    | on going
Kpathsea.py	    | done
OpcodeParser.py	    | on going
PkFontParser.py	    | on going
PkFont.py	    | on going
PkGlyph.py	    | on going
PyDviVersion.py	    | done
TexDaemon.py	    | done
TeXUnit.py	    | done
TfmParser.py	    | done
Tfm.py		    | on going
Type1Font.py	    | to doc
VfFontParser.py	    | complete implementation
VfFont.py           | complete implementation
